objectid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
artwork_001,Tiananmen 天安门,Zeng Fanzhi 曾梵志,2004,Oil on canvas,Tiananmen 天安门,China,https://www.artnet.com/artists/zeng-fanzhi/tiananmen-F-oMI8x_34isdlzPq5iA-g2,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_001_sm.jpg,,,
artwork_002,Rouge Series- Mao,Li Shan 李山,2005,Oil and collage on canvas,Mao 毛泽东,China,https://www.artsy.net/artwork/li-shan-li-shan-b-1942-rouge-series-mao-2,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_002_sm.jpg,,,
artwork_003,Sailing in the Great Sea Depends on the Helmsman 大海航行靠舵手,Huang Yan 黄岩,2006,"Sculpture, Porcelain",Mao 毛泽东,China,https://www.conceptioart.com/artists/huangyan.html,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_003_sm.jpg,,,
artwork_004,Welcome to the World‚ the Most Famous Brand 欢迎来到世界上最有名的品牌,Luo Brothers (Luo Wei Guo and Luo Wei Bing) 罗伟国 and 罗伟冰,2006,Lacquer and paint on carved wood,Mao 毛泽东,China,https://www.artsy.net/artwork/luo-brothers-welcome-to-the-worlds-most-famous-brand-relied-fish-and-7-up,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_004_sm.jpg,,,
artwork_005,Untitled (Woman with Roses) 无题（女人与玫瑰）,Xue Song 薛松,2007,Collage and acrylic on canvas,Mao 毛泽东,China,https://www.artsy.net/artwork/xue-song-xie-song-untitled-woman-with-roses,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_005_sm.jpg,,,
artwork_006,Untitled (Mao) 无题（毛）,Xue Song 薛松,2007,Collage and acrylic on canvas,Mao 毛泽东,China,https://www.artsy.net/artwork/xue-song-xie-song-untitled-mao,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_006_sm.jpg,,,
artwork_007,Mao (Spring Landscape) 毛（春景）,Huang Yan 黄岩,2008,"Painting, Oil on canvas",Mao 毛泽东,China,https://www.mutualart.com/Artwork/Mao--Spring-Landscape/FFC3228ECBB05042,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_007_sm.jpg,,,
artwork_008,Mao 毛,Ren Zhenyu 任震宇,2008,Oil on Canvas,Mao 毛泽东,China,https://www.artsy.net/artwork/ren-zhenyu-mao-1,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_008_sm.jpg,,,
artwork_009,MAO vs MARILYN 毛泽东和玛丽莲梦露,Alex Guofeng Cao 曹国峰,2009,Chromogenic Print in Dibond Plexiglass,Mao 毛泽东,China,https://www.artsy.net/artwork/alex-guofeng-cao-mao-vs-marilyn,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_009_sm.jpg,,,
artwork_010,Red Flower Face of Mao 毛的红花脸,Zhang Wanxing 张万新,2011,High-fired clay with glaze,Mao 毛泽东,China,https://cclarkgallery.com/artists/series/wanxin-zhang/early-works#slide6,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_010_sm.jpg,,,
artwork_011,Head Portrait 头像,Liu Bolin 刘勃麟 ,2012,Archival Pigment Print,Mao 毛泽东,China,https://www.artsy.net/artwork/liu-bolin-head-portrait-2,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_011_sm.jpg,,,
artwork_012,Icon 图标,Yan Peiming 严培明,2013,"The complete set of four lithographs in colors, on Rives BFK paper, with full margins, all contained in the original cream cloth-covered portfolio. and the medium is print",Mao 毛泽东,China,https://www.artsy.net/artwork/yan-pei-ming-icons-5,,Image,image/jpeg,"eng, cn",,,image,,/objects/small/artwork_012_sm.jpg,,,